CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,SupportTickets,LastLoginDays,FeatureUsageCount,CompanySize,Industry,Churn,ticket_text,ticket_sentiment
0000-XXXXX,Female,0,Yes,Yes,65,113.76,7394.4,One year,Credit card (automatic),No,No,No phone service,Fiber optic,No,No,No internet service,Yes,Yes,No internet service,1,4,7,Medium (51-250),Finance,No,I regret signing up. our API integration is failing The platform keeps crashing.,0.0
0001-XXXXX,Male,1,Yes,No,51,69.16,3527.16,Month-to-month,Credit card (automatic),Yes,Yes,No,DSL,No internet service,Yes,No,Yes,No,Yes,4,15,7,Medium (51-250),Real Estate,Yes,I have submitted multiple tickets about our API integration is failing with no resolution.,0.0
0002-XXXXX,Female,1,No,No,62,33.88,2100.56,Two year,Mailed check,No,Yes,No,Fiber optic,Yes,No,Yes,No,No,No internet service,3,1,8,Micro (<10),Retail,No,The security feature is broken. the mobile app keeps crashing Fix it or I'm leaving.,-0.4
0003-XXXXX,Female,0,Yes,No,28,92.14,2579.92,Month-to-month,Electronic check,No,Yes,No,Fiber optic,No,No,No,Yes,No,No,1,4,6,Medium (51-250),Media,Yes,The integration feature is broken. the reports are not loading properly Fix it or I'm leaving.,-0.2
0004-XXXXX,Male,0,No,No,28,41.75,1169.0,Month-to-month,Bank transfer (automatic),No,No,No phone service,DSL,No,No internet service,No,No,No internet service,No,2,1,6,Enterprise (1000+),Education,Yes,I need to add more users to our account. the mobile app keeps crashing,0.5
0005-XXXXX,Female,0,No,No,0,37.11,0.0,Two year,Bank transfer (automatic),Yes,Yes,No,No,Yes,No,No,No,Yes,No internet service,0,1,6,Enterprise (1000+),Education,No,Customer support was very helpful with our API integration is failing. Thank you!,0.25
0006-XXXXX,Female,0,No,No,49,45.14,2211.86,Month-to-month,Electronic check,Yes,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,1,15,6,Large (251-1000),Other,Yes,Extremely poor experience. we can't add new team members I want a refund.,-0.13181818181818183
0007-XXXXX,Female,1,No,Yes,1,76.37,76.37,One year,Electronic check,Yes,Yes,No,Fiber optic,Yes,No,No,No internet service,Yes,No,2,21,8,Medium (51-250),Other,No,I have submitted multiple tickets about we can't add new team members with no resolution.,0.06818181818181818
0008-XXXXX,Male,0,Yes,No,70,47.66,3336.2,One year,Mailed check,No,No,No phone service,No,Yes,No,Yes,Yes,Yes,Yes,1,2,6,Large (251-1000),Retail,No,We would like to upgrade our plan. performance has been very slow lately,-0.34500000000000003
0009-XXXXX,Male,0,Yes,Yes,50,22.35,1117.5,Month-to-month,Bank transfer (automatic),No,Yes,Yes,DSL,No,Yes,Yes,No internet service,Yes,Yes,1,7,3,Medium (51-250),Consulting,No,The automation feature could be improved. login issues affecting the whole team,0.2
0010-XXXXX,Male,0,No,No,33,57.19,1887.27,Month-to-month,Mailed check,Yes,Yes,No,DSL,No,No internet service,No,Yes,Yes,No,1,1,4,Micro (<10),Media,No,The new reporting update is fantastic. the mobile app keeps crashing,0.2681818181818182
0011-XXXXX,Female,0,Yes,No,48,41.81,2006.88,Two year,Electronic check,Yes,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,No,2,2,7,Medium (51-250),Technology,No,I noticed performance has been very slow lately. Is this expected behavior?,-0.26333333333333336
0012-XXXXX,Female,0,No,No,72,69.65,5014.8,Two year,Credit card (automatic),No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,No,2,6,8,Medium (51-250),Consulting,No,Thank you for the quick response on the analytics don't match our internal numbers. Much appreciated.,0.17777777777777778
0013-XXXXX,Female,1,No,No,11,64.44,708.84,Month-to-month,Credit card (automatic),Yes,Yes,No,No,No internet service,Yes,No,Yes,No,No,0,3,9,Large (251-1000),Manufacturing,No,Thank you for the quick response on the mobile app keeps crashing. Much appreciated.,0.26666666666666666
0014-XXXXX,Male,0,Yes,No,54,26.1,1409.4,Two year,Bank transfer (automatic),No,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,0,3,8,Small (10-50),Media,No,I have a question about we can't add new team members. Can someone help?,0.13636363636363635
0015-XXXXX,Male,0,Yes,No,63,42.9,2702.7,Two year,Electronic check,Yes,Yes,No,No,No internet service,No internet service,No,Yes,No,No,0,24,7,Medium (51-250),Media,No,Could you clarify the billing for billing charged us twice this month?,0.0
0016-XXXXX,Female,0,No,Yes,42,46.54,1954.68,One year,Electronic check,No,Yes,No,DSL,Yes,No,No,No internet service,Yes,No internet service,1,1,8,Small (10-50),Consulting,No,Your customer support is terrible. we can't add new team members No one is helping me.,-0.4318181818181818
0017-XXXXX,Male,0,No,Yes,48,66.97,3214.56,One year,Bank transfer (automatic),Yes,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,2,6,7,Large (251-1000),Media,No,Please help me configure notifications. billing charged us twice this month,0.0
0018-XXXXX,Female,0,No,No,36,100.88,3631.68,Month-to-month,Bank transfer (automatic),No,Yes,No,No,No,No internet service,No,No,No internet service,No internet service,3,1,6,Small (10-50),Other,No,I noticed we need SSO integration for security. Is this expected behavior?,-0.1
0019-XXXXX,Female,0,Yes,No,11,40.22,442.42,Month-to-month,Mailed check,Yes,Yes,No,DSL,No,No,No internet service,Yes,No,No internet service,1,5,7,Medium (51-250),Retail,Yes,I noticed the reports are not loading properly. Is this expected behavior?,-0.05
0020-XXXXX,Female,0,No,Yes,71,34.15,2424.65,Two year,Electronic check,Yes,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,1,1,8,Medium (51-250),Finance,No,We would like to upgrade our plan. the reports are not loading properly,0.0
0021-XXXXX,Male,0,Yes,No,20,18.35,367.0,One year,Credit card (automatic),Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,1,7,8,Micro (<10),Retail,No,Our team is very satisfied with the service. the dashboard keeps showing wrong data,0.07500000000000001
0022-XXXXX,Female,0,Yes,No,28,79.2,2217.6,Month-to-month,Mailed check,Yes,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,Yes,Yes,2,13,6,Medium (51-250),Education,No,I have submitted multiple tickets about email notifications are not working with no resolution.,0.0
0023-XXXXX,Female,0,No,No,71,50.98,3619.58,One year,Credit card (automatic),Yes,Yes,No,DSL,No,No,Yes,No,No internet service,No,1,13,6,Medium (51-250),Consulting,No,I would recommend this to other teams. we need SSO integration for security,-0.125
0024-XXXXX,Female,1,No,Yes,4,85.6,342.4,Month-to-month,Mailed check,No,No,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No,2,2,5,Small (10-50),Media,No,I've been experiencing we need SSO integration for security for weeks. Very disappointing.,-0.78
0025-XXXXX,Male,0,Yes,No,29,87.61,2540.69,Month-to-month,Bank transfer (automatic),Yes,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No,No internet service,5,5,5,Large (251-1000),Media,No,I've been experiencing the mobile app keeps crashing for weeks. Very disappointing.,-0.78
0026-XXXXX,Male,0,No,Yes,40,22.74,909.6,Month-to-month,Electronic check,No,Yes,No,Fiber optic,No,Yes,No,No internet service,No,No,0,23,6,Medium (51-250),Media,No,The pricing is too high for what we get. our API integration is failing,0.16
0027-XXXXX,Male,0,Yes,Yes,17,60.3,1025.1,Month-to-month,Electronic check,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,No internet service,No internet service,4,10,7,Medium (51-250),Other,Yes,I have submitted multiple tickets about the data export feature is missing with no resolution.,-0.1
0028-XXXXX,Male,0,Yes,No,48,115.53,5545.44,Month-to-month,Credit card (automatic),Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,3,5,8,Medium (51-250),Manufacturing,No,I am very frustrated with the service. login issues affecting the whole team,-0.355
0029-XXXXX,Female,0,Yes,No,38,45.9,1744.2,Month-to-month,Bank transfer (automatic),Yes,Yes,Yes,Fiber optic,No,No,No,Yes,No internet service,No internet service,3,13,3,Medium (51-250),Other,Yes,I regret signing up. the data export feature is missing The platform keeps crashing.,-0.2
0030-XXXXX,Female,0,No,Yes,19,71.47,1357.93,One year,Mailed check,No,Yes,No,Fiber optic,No,No internet service,No,No internet service,No,No internet service,1,21,7,Medium (51-250),Consulting,No,Please help me configure automation. the analytics don't match our internal numbers,0.0
0031-XXXXX,Female,0,Yes,Yes,15,72.3,1084.5,Two year,Mailed check,Yes,Yes,Yes,No,Yes,No,No,No internet service,Yes,No,0,10,8,Small (10-50),Other,No,I would recommend this to other teams. email notifications are not working,-0.125
0032-XXXXX,Male,0,No,No,20,44.44,888.8,Month-to-month,Electronic check,Yes,Yes,Yes,DSL,No,No,No,No internet service,Yes,Yes,0,5,6,Large (251-1000),Media,No,We would like to upgrade our plan. billing charged us twice this month,0.0
0033-XXXXX,Male,0,Yes,No,57,96.57,5504.49,Month-to-month,Bank transfer (automatic),Yes,Yes,Yes,No,No internet service,Yes,No,No,Yes,Yes,1,21,8,Medium (51-250),Technology,Yes,I noticed our API integration is failing. Is this expected behavior?,-0.1
0034-XXXXX,Male,1,Yes,Yes,38,18.62,707.56,Two year,Electronic check,Yes,No,No phone service,No,Yes,Yes,No internet service,No,No,No,2,0,7,Small (10-50),Other,No,Could you clarify the billing for we need SSO integration for security?,0.0
0035-XXXXX,Male,0,Yes,Yes,57,41.04,2339.28,Month-to-month,Mailed check,Yes,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No,No,1,0,3,Large (251-1000),Healthcare,No,Extremely poor experience. billing charged us twice this month I want a refund.,-0.4
0036-XXXXX,Male,1,Yes,No,52,77.8,4045.6,Month-to-month,Mailed check,Yes,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No,No,0,2,8,Small (10-50),Healthcare,No,The new integration update is fantastic. the reports are not loading properly,0.1787878787878788
0037-XXXXX,Male,0,No,Yes,58,110.44,6405.52,Month-to-month,Bank transfer (automatic),No,Yes,No,DSL,No,No,No,Yes,No,Yes,0,2,5,Small (10-50),Healthcare,No,I have a question about login issues affecting the whole team. Can someone help?,0.2
0038-XXXXX,Male,0,No,No,62,19.21,1191.02,Two year,Mailed check,Yes,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No,No,0,5,9,Micro (<10),Consulting,No,Our team is very satisfied with the service. the reports are not loading properly,0.325
0039-XXXXX,Female,0,No,No,45,78.64,3538.8,Month-to-month,Credit card (automatic),Yes,No,No phone service,No,Yes,Yes,No,No internet service,Yes,No,1,8,5,Large (251-1000),Healthcare,No,Please help me configure security. our API integration is failing,0.0
0040-XXXXX,Male,0,Yes,No,26,18.59,483.34,Two year,Credit card (automatic),No,Yes,No,DSL,No,Yes,No internet service,No,Yes,No,0,11,7,Medium (51-250),Finance,No,I have a question about billing charged us twice this month. Can someone help?,0.0
0041-XXXXX,Female,0,No,No,50,80.84,4042.0,Two year,Credit card (automatic),Yes,Yes,No,No,Yes,Yes,Yes,No internet service,No internet service,No,2,3,7,Large (251-1000),Education,No,I am very frustrated with the service. billing charged us twice this month,-0.9099999999999999
0042-XXXXX,Female,0,No,No,68,59.62,4054.16,Two year,Mailed check,Yes,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,2,7,5,Enterprise (1000+),Other,No,Could you clarify the billing for the mobile app keeps crashing?,0.0
0043-XXXXX,Male,0,Yes,Yes,23,61.91,1423.93,Two year,Electronic check,No,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No,No internet service,1,6,6,Small (10-50),Real Estate,No,The new dashboard update is fantastic. email notifications are not working,0.2681818181818182
0044-XXXXX,Female,0,No,No,35,115.48,4041.8,One year,Credit card (automatic),Yes,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,Yes,1,1,6,Large (251-1000),Consulting,No,Could you clarify the billing for performance has been very slow lately?,-0.34500000000000003
0045-XXXXX,Female,0,No,Yes,64,86.82,5556.48,Two year,Electronic check,No,Yes,No phone service,DSL,No internet service,No,No internet service,No internet service,Yes,No,0,2,6,Medium (51-250),Education,No,I need to add more users to our account. the analytics don't match our internal numbers,0.25
0046-XXXXX,Male,0,No,No,43,37.99,1633.57,Month-to-month,Credit card (automatic),No,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,1,2,5,Small (10-50),Healthcare,No,The reporting feature is broken. performance has been very slow lately Fix it or I'm leaving.,-0.36333333333333334
0047-XXXXX,Male,0,No,Yes,10,118.48,1184.8,Two year,Electronic check,No,Yes,No,Fiber optic,Yes,Yes,No,No internet service,Yes,No internet service,3,7,5,Enterprise (1000+),Finance,No,The pricing is too high for what we get. we need SSO integration for security,0.16
0048-XXXXX,Female,0,No,No,25,44.05,1101.25,Month-to-month,Credit card (automatic),Yes,No,No phone service,Fiber optic,No,No internet service,Yes,No,No internet service,Yes,2,2,8,Small (10-50),Retail,No,Please help me configure integration. performance has been very slow lately,-0.34500000000000003
0049-XXXXX,Male,0,No,Yes,18,87.18,1569.24,Month-to-month,Bank transfer (automatic),No,Yes,No,Fiber optic,No,No internet service,No,No,No,Yes,0,10,5,Micro (<10),Media,No,I have submitted multiple tickets about the reports are not loading properly with no resolution.,0.0
0050-XXXXX,Male,0,No,No,34,86.62,2945.08,Month-to-month,Bank transfer (automatic),Yes,Yes,Yes,DSL,Yes,No internet service,No,Yes,Yes,No,2,0,12,Micro (<10),Manufacturing,Yes,I regret signing up. the reports are not loading properly The platform keeps crashing.,0.0
0051-XXXXX,Male,0,No,No,72,103.65,7462.8,Two year,Bank transfer (automatic),No,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No,No,2,9,7,Medium (51-250),Technology,No,The pricing is too high for what we get. our API integration is failing,0.16
0052-XXXXX,Female,0,Yes,Yes,61,58.34,3558.74,Month-to-month,Electronic check,Yes,Yes,Yes,Fiber optic,No,No internet service,No,No,No,Yes,4,24,5,Large (251-1000),Real Estate,Yes,I regret signing up. performance has been very slow lately The platform keeps crashing.,-0.34500000000000003
0053-XXXXX,Female,0,No,No,70,88.19,6173.3,One year,Mailed check,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,1,4,4,Medium (51-250),Technology,No,I noticed email notifications are not working. Is this expected behavior?,-0.1
0054-XXXXX,Female,0,No,Yes,54,81.16,4382.64,One year,Electronic check,Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,2,2,5,Small (10-50),Real Estate,No,The billing feature could be improved. the analytics don't match our internal numbers,0.0
