CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,SupportTickets,LastLoginDays,FeatureUsageCount,CompanySize,Industry,Churn
0000-XXXXX,Female,0,Yes,Yes,65,113.76,7394.4,One year,Credit card (automatic),No,No,No phone service,Fiber optic,No,No,No internet service,Yes,Yes,No internet service,1,4,7,Medium (51-250),Finance,No
0001-XXXXX,Male,1,Yes,No,51,69.16,3527.16,Month-to-month,Credit card (automatic),Yes,Yes,No,DSL,No internet service,Yes,No,Yes,No,Yes,4,15,7,Medium (51-250),Real Estate,Yes
0002-XXXXX,Female,1,No,No,62,33.88,2100.56,Two year,Mailed check,No,Yes,No,Fiber optic,Yes,No,Yes,No,No,No internet service,3,1,8,Micro (<10),Retail,No
0003-XXXXX,Female,0,Yes,No,28,92.14,2579.92,Month-to-month,Electronic check,No,Yes,No,Fiber optic,No,No,No,Yes,No,No,1,4,6,Medium (51-250),Media,Yes
0004-XXXXX,Male,0,No,No,28,41.75,1169.0,Month-to-month,Bank transfer (automatic),No,No,No phone service,DSL,No,No internet service,No,No,No internet service,No,2,1,6,Enterprise (1000+),Education,Yes
0005-XXXXX,Female,0,No,No,0,37.11,0.0,Two year,Bank transfer (automatic),Yes,Yes,No,No,Yes,No,No,No,Yes,No internet service,0,1,6,Enterprise (1000+),Education,No
0006-XXXXX,Female,0,No,No,49,45.14,2211.86,Month-to-month,Electronic check,Yes,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,1,15,6,Large (251-1000),Other,Yes
0007-XXXXX,Female,1,No,Yes,1,76.37,76.37,One year,Electronic check,Yes,Yes,No,Fiber optic,Yes,No,No,No internet service,Yes,No,2,21,8,Medium (51-250),Other,No
0008-XXXXX,Male,0,Yes,No,70,47.66,3336.2,One year,Mailed check,No,No,No phone service,No,Yes,No,Yes,Yes,Yes,Yes,1,2,6,Large (251-1000),Retail,No
0009-XXXXX,Male,0,Yes,Yes,50,22.35,1117.5,Month-to-month,Bank transfer (automatic),No,Yes,Yes,DSL,No,Yes,Yes,No internet service,Yes,Yes,1,7,3,Medium (51-250),Consulting,No
